"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,1298.95,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,1530.93,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,1413.38,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,1553.5,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,1664.79,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,1689.33,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,1780.6,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,1698.38,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,1717.72,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1509.51,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,1586.75,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,1590.03,,
"SVK","Slovak Republic","P3CG","Final consumption expenditure","030","Public order and safety","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,1644.89,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,10251,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,9862,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,11689,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,11923,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,12798,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,14128,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,15216,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,15847,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,18380,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,20208,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,22588,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,23780,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,25854,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,28337,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,27837,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,28862,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,31257,,
"AUS","Australia","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,33251,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,37003,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,37904,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,37421,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,38261,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,39573,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,41447,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,42677,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,45187,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,48015,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,51019,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,53151,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,55532,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,58218,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,60283,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,65620,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,67212,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,68969,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,71422,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,72495,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,73517,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,73980,,
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,73918,"P","Provisional value"
"FRA","France","P3CG","Final consumption expenditure","100","Social protection","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,74528,"P","Provisional value"
"CHL","Chile","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2013","2013","CLP","Chilean Peso","6","Millions",,,1543395.6281,,
"CHL","Chile","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2014","2014","CLP","Chilean Peso","6","Millions",,,1746240.7592,,
"CHL","Chile","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2015","2015","CLP","Chilean Peso","6","Millions",,,1598592.3682,,
"CHL","Chile","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2016","2016","CLP","Chilean Peso","6","Millions",,,1610877.0454,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,27368,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,26721,,
