"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,69317,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,8111,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,8478,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,8590,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,8997,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,9593,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,10380,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,11377,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,12034,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,13136,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,13843,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,14882,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,16265,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,18172,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,20210,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,21589,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,21143,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,21219,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,21079,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,21131,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,21786,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,22684,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,22065,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,21608,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,21861,,
"ESP","Spain","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,22886,"P","Provisional value"
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","CHF","Swiss Franc","6","Millions",,,7937.57,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","CHF","Swiss Franc","6","Millions",,,7660.41,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","CHF","Swiss Franc","6","Millions",,,7648.98,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","CHF","Swiss Franc","6","Millions",,,7753.25,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","CHF","Swiss Franc","6","Millions",,,7555.21,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","CHF","Swiss Franc","6","Millions",,,8011.58,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","CHF","Swiss Franc","6","Millions",,,8688.86,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","CHF","Swiss Franc","6","Millions",,,8751.07,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","CHF","Swiss Franc","6","Millions",,,8990.21,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","CHF","Swiss Franc","6","Millions",,,8669.44,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","CHF","Swiss Franc","6","Millions",,,8648.91,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","CHF","Swiss Franc","6","Millions",,,8694.65,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","CHF","Swiss Franc","6","Millions",,,9596.47,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","CHF","Swiss Franc","6","Millions",,,9914.43,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","CHF","Swiss Franc","6","Millions",,,10734.89,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","CHF","Swiss Franc","6","Millions",,,11170.1,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","CHF","Swiss Franc","6","Millions",,,11621.27,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","CHF","Swiss Franc","6","Millions",,,11600.71,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","CHF","Swiss Franc","6","Millions",,,11815.06,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","CHF","Swiss Franc","6","Millions",,,12551.88,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","CHF","Swiss Franc","6","Millions",,,12496.85,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","CHF","Swiss Franc","6","Millions",,,12315.73,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","CHF","Swiss Franc","6","Millions",,,13183.65,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","CHF","Swiss Franc","6","Millions",,,12999.23,,
"CHE","Switzerland","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","CHF","Swiss Franc","6","Millions",,,13340.99,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","CLP","Chilean Peso","6","Millions",,,1326366.003,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","CLP","Chilean Peso","6","Millions",,,1438587.301,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","CLP","Chilean Peso","6","Millions",,,1547892.745,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","CLP","Chilean Peso","6","Millions",,,1782029.971,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","CLP","Chilean Peso","6","Millions",,,1960753.365,,
"CHL","Chile","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","CLP","Chilean Peso","6","Millions",,,1989962.817,,
