"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42"
"1955",,,"9.4356175620471436","7.0632563043208574","3.0772637011863835","1.9544296300888084",,,"2.3723612577262863","3.9859926031344739","1.122834071097575","331.62700000000001","231.095","657.5092720391923","2.6389549839228293E-2","107815.04051451586","75131.146703079183",,,"1017301.4897315901","1523050.5292295255","3317753.1061725896",,,,"511552.4502336547","1074374.8849937597",,,,"668062.5438758895",,,,"2.2623662914541707","1.7921631041399717","2845.190","3.3914857507673748","6.1963761334945078","17.331608061990249","24.917462479402371"
"1956",,,"9.9503797687224331","7.5170730967525641","3.4405108659844053","2.1572253536865582",,,"2.4333066719698691","4.0765622307681593","1.283285512297847","340.101","238.21700000000001","687.19975640877817","2.7143569131832797E-2","106277.98042126615","74440.303503996634",,,"1057506.2662444457","1597798.6948037911","3656505.4645424406",,,,"517213.83768510015","1083122.0023691286",,,,"674783.07322611043",,,,"2.1841369768738272","1.8444968948102973","2884.764","3.4881502398454494","6.3492274745097319","18.497710223485996","27.488636589625223"
"1957",,,"10.058178801279569","7.5543144744177564","3.4957070113093232","2.2442809024518153",,,"2.5038643268618124","4.0586074631084337","1.2514261088575078","347.84399999999999","244.608","690.97854532854365","2.6892202572347267E-2","105043.10050909726","73867.546168193978",,,"1056542.2867612811","1587057.2292271852","3671999.0293932124",,,,"526027.34429537703","1065821.7791856786",,,,"682833.58479384822",,,,"2.1146917715725184","1.897108981605991","2824.840","3.6275347719967104","6.5005086624867037","18.19026383485679","26.748654977025975"
"1958",,,"9.8268005324067467","7.3200226501538284","3.2591674167663096","2.0479028941010378",,,"2.5067778822529183","4.0608552333875192","1.2112645226652718","354.42500000000001","249.83600000000001","709.87248992737102","2.7059807073954983E-2","105002.74004520595","74016.969914464484",,,"1031840.9817803971","1537244.8709182439","3422215.0902651818",,,,"526437.09264255012","1066002.3160815095",,,,"688416.67808076099",,,,"2.2381532234811421","1.8076544817195079","2841.354","3.8468736738507321","6.556178227200383","18.005522861635313","26.066638967880355"
"1959",,,"10.810969861669907","7.9803837022856667","3.4307775836193986","2.0959168532023482",,,"2.8305861593842403","4.5496061186662686","1.3348607304170503","361.58100000000002","255.63900000000001","676.94304362655771","2.6892202572347267E-2","98468.800066264404","69617.777427850917",,,"1064543.2298311843","1571637.6144648844","3378245.519532402",,,,"557448.84519748401","1119985.638198005",,,,"739118.73882112524",,,,"2.3846413257204486","1.7222086914672186","2648.043","4.4526644643642772","7.5061211096686113","19.90991747828167","28.347681253291597"
"1960",,,"11.233409544831552","8.2192185401539728","3.5284651297649399","2.1696720070942508",,,"3.0141910046775795","4.6907534103890329","1.3587931226706891","368.423","261.12799999999999","669.6581908801943","2.7394935691318324E-2","93611.554580357057","66349.272505949615",,,"1051576.9307295028","1538827.6499590126","3303051.0607987731",,,,"564326.21149999299","1097771.7972490725",,,,"748180.64726409083",,,,"2.3721215497934316","1.7287984072187677","2564.483","4.9944603828174063","7.9923963512628706","20.335797816688917","28.43081585194923"
"1961",,,"11.168986365062864","8.2294006886650326","3.6354177100059584","2.4269366586868073",,,"2.9395856763978312","4.5939829786590742","1.2084810513191511","375.16300000000001","266.51600000000002","730.87794529907319","2.7227331189710609E-2","100720.1807196774","71551.671366007693",,,"1124942.3251447445","1657733.4491539593","3661599.2874331591",,,,"592151.20113552944","1156766.9895841596",,,,"791530.3556146581",,,,"2.1290627939496387","1.8856903312718711","2742.342","4.9450880678295892","7.858706665922603","18.492511392371394","25.920496507447154"
"1962",,,"9.4947586728993603","6.92243453941835","2.9400576020413483","1.8673170755039028",,,"2.5723241334810103","3.9823769373770017","1.0727405265374454","382.63799999999998","272.63799999999998","853.85446952647067","2.7444453376205786E-2","114115.03917899833","81309.478022788506",,,"1083494.7579530447","1579907.7773595524","3355047.8844546033",,,,"587081.73854653677","1136122.7505857898",,,,"789398.02872031496",,,,"2.3204052136307056","1.757343268321631","3131.825","4.4033711929038821","6.9175634903133378","16.357656041892049","23.173792649813322"
"1963",,,"12.612154969430714","9.354295416717731","4.5694989668650736","3.0697385375604567",,,"3.2578595527129828","4.7847964498526574","1.4997604293046169","394.00400000000002","282.404","890.37151602194251","2.7925964630225081E-2","112899.55510641931","80921.224049180324",,,"1423906.6849819431","2112191.5817628982","5158944.0041830949",,,,"735621.78820098797","1350503.476157849",,,,"918610.00093815394",,,,"1.9376453886696257","2.0665012723187877","3152.829","5.2676310463369544","8.1365245423001937","21.110603592130339","29.960043037254366"
"1964",,,"11.049136356491411","8.125416258254841","3.4800289746552142","2.3136659432026416",,,"2.9237200982365703","4.6453872835996268","1.1663630314525726","409.303","296.10300000000001","837.74400783729197","2.840747588424437E-2","99594.619319228805","72049.961921318943",,,"1100434.5292310128","1618495.4781023269","3465921.6095067221",,,,"582373.58035969897","1156638.9452512281",,,,"807156.92799150257",,,,"2.2004377170917682","1.833029473967748","2829.232","4.8424434145302584","8.1044230452283497","18.113086736011908","25.496496336898247"
"1965",,,"10.440198045059059","7.3652585977230798","2.867020230913246","1.9479734231419323",,,"3.0749394473359795","4.4982383668098338","0.91904680777131365","423.82299999999998","309.02300000000002","855.46551569538849","2.9002250803858522E-2","95450.893769081304","69596.320976452",,,"996526.23452710244","1406041.0319861569","2736596.4349470716",,,,"587011.43706804828","1073402.1812459279",,,,"797075.87892186001",,,,"2.3674521114080727","1.7312870349589755","2768.291","5.4497384823422594","8.3506381915100611","16.622038916031794","22.359228192785363"
"1966",,,"10.345613485757529","7.28321127696712","2.8044925241469989","1.9361062624434837",,,"3.0624022087904086","4.4787187528201216","0.86838626170351518","438.00099999999998","321.601","873.72403894312436","2.9993488745980703E-2","90579.498068453395","66507.741211350396",,,"937100.4767501395","1319419.2435883624","2540295.2517396505",,,,"554781.7099119164","1014200.2415505406",,,,"758175.59476606979",,,,"2.3551229555746493","1.7379404177947402","2716.795","5.514489658990283","8.3702781637528592","15.997861763422963","20.913967158269642"
"1967",,,"10.911015858187413","7.4933392473033145","2.8168757591823024","1.8788070552326699",,,"3.417676610884099","4.6764634881210121","0.93806870394963249","450.29300000000001","332.29300000000001","891.44554680122087","3.1183118971061092E-2","86030.822601707769","63486.308103366653",,,"938683.66970014153","1289316.2789583318","2423381.3872926356",,,,"588051.0604419515","1005800.0018747558",,,,"766433.01341081946",,,,"2.5049674291533024","1.6644662074597867",,"6.0707907690332226","8.9088188422785723","17.279511423128405","22.954381918641367"
"1968",,,"9.772631537141006","6.8012652009143295","2.4521498124945098","1.5974705385647561",,,"2.9713663362266765","4.3491153884198201","0.85467927392975374","462.33199999999999","342.73200000000003","919.37034706246413","3.2344292604501605E-2","82935.063138373123","61480.710959961456",,,"810493.81356084568","1128126.7177172997","2033691.9952398196",,,,"492860.9094043916","901735.39833666978",,,,"679740.59224081994",,,,"2.6965578461783326","1.5894287673435956",,"5.3182036461412947","8.1960580545613837","15.728405347721997","20.683547368317296"
"1969",,,"10.868517699808056","7.6185824038124919","2.9322260469416244","2.0076662126891058",,,"3.2499352959955639","4.686356356870867","0.92455983425251853","472.98599999999999","351.786","960.72053206468922","3.3533842443729901E-2","81439.519185904035","60571.100828211478",,,"885126.85573585564","1240907.3756893566","2387990.7940730993",,,,"529346.33578235481","954136.52109342068",,,,"447663.9235384285","711099.23854428588","1393492.2201129317",,"2.3763279283340677","1.7265710296313017",,"5.4968880957724569","8.7316237332030635","17.110761876331466","22.473248057660058"
