"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150"
"1936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.0790997129840524E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.2982740045261916E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938",,"27.561232662388342","12.721612155233501","9.3757551414866604","4.5612040266690528","3.2754232797157936","1.45",,"14.839620507154841","3.3458570137468406","4.8145511148176077","1.2857807469532592","1.8254232797157937","3.1112040266690526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2176.3077460378895","2176.3077460378895",,"3497.3378042482059",,"3.4073243343277736E-2","47163.258162435865",,"47163.258162435865",,"259975.50626623613","599992.67831965978","884382.3204114415","2151212.4304133453","6838672.4335531993",,,"174971.21325288029","315603.03622787795","567674.79291096563","1630383.5411755838",,"95499.619756919812","229905.78378601064","345227.79368117929","962694.10981453978","1452636.3107079137","3518623.2594484338",,,,,,,,,,,,,,,,,,,"1.8033050499643684","2.2448571063313447",,"3253.981783168023","7833.6357169677376","11763.030622961702","32802.110668850954","49496.030504031951","119890.90655250355"
"1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4504996758736882E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.0263498351423802E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.7193792517506057E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.0028180836399504E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.1252121246830769E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.188249657100024E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.2819623877733951E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1946",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.4136356762890886E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.4406298507547406E-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948","34.378544795870482","22.456248691244479","9.0950741826292045","6.3583226708244638","2.8299218981646415","2.0048127218345506","0.88","11.922296104626003","13.361174508615274","2.7367515118047407","3.5284007726598223","0.82510917633009084","1.1248127218345507","1.9499218981646416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2403.759","2403.759",,"8209.4167304177445",,"5.403742924851393E-2","63201.400035735933",,"63201.400035735933","217277.21622902778","283853.27136746276","574821.4217710424","803709.78935013176","1788550.2595579266","5561723.2031447617","46081.864903147951","150701.16109059285","211111.23376656786","345933.05419195304","557499.67179818288","1369308.8213816117","135348.74215979621","171368.74098686638","303847.09352982655","412131.86358159385","890145.41264126205","1257633.0549039063","2940730.7703933739",,,,,,,,,,,,,,,,,,,"2.0285283952878337","1.9722628996743936","7313.8980783353418","9260.3262164847019","16419.115818984596","22270.546419348571","48101.169756491436","67959.257224962275","158909.53094405981"
"1949","34.021277187413617","22.136226543290334","8.8848557539546071","6.1991586899074864","2.7423946205871155","1.9420370998015781","0.86","11.885050644123282","13.251370789335727","2.6856970640471207","3.4567640693203709","0.80035752078553735","1.0820370998015783","1.8823946205871156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2418.6309999999999","2418.6309999999999",,"8800.0222505916827",,"5.425905755591659E-2","67056.658633773404",,"67056.658633773404","228135.31706413772","296876.27735065873","595788.7393032515","831389.73617143254","1838958.1991180673","5766872.6425045123","49159.02991928847","159394.35677761672","222148.16186251061","360187.74243507045","579497.62043477385","1402523.2609640181","144571.01560863276","180923.99394169563","317250.68289532175","428726.59189017146","924061.35491702484","1298551.3955199798","2897012.4946830128",,,,,,,,,,,,,,,,,,,"2.0429861991202047","1.9587854574140433","7844.2870568261205","9816.7654005287677","17213.723062871104","23262.300825120776","50138.698241641119","70458.174908834393","157189.1676892151"
"1950","34.098326483706153","22.094276942347115","8.7568634377035348","6.0587026935744497","2.6328107415208191","1.835111285081628","0.78","12.004049541359038","13.33741350464358","2.6981607441290851","3.4258919520536306","0.79769945643919105","1.055111285081628","1.852810741520819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2429.373","2429.373",,"9463.0139241200941",,"5.709881403450489E-2","68219.446404089089",,"68219.446404089089","232616.89560243234","301451.86834111006","597388.3759563436","826642.68736522458","1796088.9127328957","5321116.8195189498","49953.063159828729","163781.92286375459","227467.74143730168","368134.06454746251","584281.13102330698","1404419.1453122231","148384.22343953984","185565.76123650547","323853.80822894973","433184.77481805964","938164.01594780374","1317406.5154957999","2919350.4602531334",,,,,,,,,,,,,,,,,,,"2.0917392307401426","1.9159696490177895","8472.5631798287068","10595.584892014562","18491.668370431009","24734.336899915263","53568.052680467925","75222.34963613977","166691.44903153993"
"1951","32.311871737789339","20.799551514445742","8.1569712499218685","5.6666722671437464","2.5114120140805176","1.7777564704270399","0.82","11.512320223343597","12.642580264523874","2.4902989827781221","3.1552602530632288","0.73365554365347774","0.95775647042703993","1.6914120140805178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2439.0990000000002","2439.0990000000002",,"11472.185917997287",,"6.6059806325162326E-2","71199.911253448736",,"71199.911253448736","230060.24001634194","296185.24438801437","580775.6290913698","806933.12504602782","1788123.125233778","5838392.7227827962","53548.763613127259","163935.23564466945","225037.64821217555","354618.1331367119","561635.62499909021","1338093.1699505537","148643.60238052299","185322.50436764967","313227.18503747863","419270.98669359565","891614.38047578291","1265073.8310075805","2906500.2274044296",,,,,,,,,,,,,,,,,,,"2.047548012932201","1.9546101826883249","9819.3675847317863","12242.368746220987","20691.727179351623","27696.960178738638","58899.873290959811","83570.532263391899","192002.84210637689"
"1952","31.392141066978557","19.568728714316602","6.9300972864088113","4.5890348301348434","1.8732136239438935","1.2906936401371134","0.55000000000000004","11.823412352661954","12.638631427907791","2.3410624562739679","2.7158212061909497","0.58251998380678005","0.74069364013711336","1.3232136239438934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2451.6999999999998","2451.6999999999998",,"12555.534894025866",,"7.1941008710874943E-2","71185.472062731176",,"71185.472062731176","223466.43809127176","278601.83823922998","493322.24677366356","653345.22139092837","1333455.9609478547","3915200.9634502148","54265.36472622666","168331.03794331363","224921.73610562159","333299.27215639874","483317.5365016968","1046595.405114259","153090.9930815252","188666.72095439112","301440.56947762688","381401.34585268918","717973.81038889685","972718.58348796633","2036457.9170095793",,,,,,,,,,,,,,,,,,,"2.3156297000638948","1.7600922964504633","11013.5204668345","13572.874215632064","21685.938634601058","27438.397544327738","51651.760147367706","69978.356087937718","146504.83674691638"
"1953","33.08011470004022","20.489682345872872","7.136485438671559","4.6686460128173763","1.8270348163951404","1.2476964749152779","0.52","12.590432354167348","13.353196907201312","2.4678394258541827","2.8416111964222361","0.57933834147986252","0.72769647491527789","1.3070348163951404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2464.567","2464.567",,"12759.602612577186",,"7.1941008710874943E-2","71964.779134112308",,"71964.779134112308","238060.31481194959","294907.0929097723","513575.59838780732","671956.15833551309","1314821.570322097","3742168.5149738402","53509.719614352616","181213.53671412697","240239.9665402635","355195.03844010155","511239.80533886713","1045116.3542496811","165638.57032829092","202513.20007258386","321109.99657852814","405352.52336902195","741438.79380485928","967825.81390263489","2013411.1321456605",,,,,,,,,,,,,,,,,,,"2.4494048517809399","1.6899383555748839","11916.205830844448","14569.003890488915","23100.977061004916","29161.469414665946","53339.854723695993","69626.365308579087","144846.82779626353"
"1954","31.7906475394262","19.785843314559912","6.8596697692339239","4.4567667580432158","1.7029181127479183","1.1484704932906835","0.47","12.004804224866287","12.926173545325987","2.4029030111907081","2.7538486452952977","0.55444761945723475","0.67847049329068354","1.2329181127479183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2479.0149999999999","2479.0149999999999",,"14054.89560506608",,"7.6664989242364007E-2","73952.249750372896",,"73952.249750372896","235098.99065617239","292641.52526401612","507288.01197946997","659175.85673994326","1259346.2557836771","3475755.7382675256","56047.056316395174","177556.45604832869","238979.90358515261","355400.16721899668","509133.25697900984","1013078.5355076941","161677.65171758039","199641.86687391822","320507.99635123828","405747.86529250524","729889.51315806713","958404.49384600157","1897513.9680052029",,,,,,,,,,,,,,,,,,,"2.5323472162533309","1.6525936089374393","12395.015429658975","15305.541576214408","24571.742092359327","31106.655727762074","55956.971674377521","73476.070210537029","145472.88794435433"
"1955","32.60935332176556","20.373704960234384","7.2037035472914193","4.7560826376997589","1.9007169391776169","1.3090044693502925","0.56999999999999995","12.235648361531176","13.170001412942966","2.4476209095916603","2.8553656985221423","0.59171246982732439","0.73900446935029251","1.3307169391776168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2494.5619999999999","2494.5619999999999",,"14826.056773065273",,"7.7359782482871994E-2","76827.396547468423",,"76827.396547468423","250529.17188077894","313051.74202421028","553441.78903816279","730794.89363817789","1460271.3401068917","4379161.6032056995","57527.199288211705","188006.60173734758","252954.23027072218","376088.6844381477","548425.78202099947","1135950.19976258","170478.45529321834","211350.25848043931","340472.62964339118","432204.98509676516","806677.34784441942","1066498.7484696312","2270946.9196231486",,,,,,,,,,,,,,,,,,,"2.3732584291833647","1.7281950569163225","13188.17621949939","16350.010023745557","26338.888570584175","33435.283635098684","62404.384163104354","82504.111199865874","175679.95973219495"
"1956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2513.7130000000002","2513.7130000000002",,"16700.615675406862",,"8.0346779913091124E-2","82689.109450476433",,"82689.109450476433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1957","32.71838021211417","20.942186646553012","7.8763223016017641","5.350235997123324","2.3523298705773446","1.7004298721479123","0.84","11.776193565561158","13.065864344951247","2.5260863044784401","2.9979061265459794","0.65189999842943225","0.86042987214791233","1.5123298705773447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2525.703","2525.703",,"17685.152914031645",,"8.2546191628076623E-2","84826.09954896805",,"84826.09954896805","277537.25769537827","355288.80185071501","668117.69963542838","907679.3026049108","1995389.6777360495","7125392.3621133156","63413.748643811356","199785.71354004156","277081.57740453666","428556.09666594589","635751.70882212615","1425389.379471909","180259.65855238773","227198.28487313542","383391.14292698045","495236.85595469864","956368.75603276538","1339048.1422049033","3195085.7700520768",,,,,,,,,,,,,,,,,,,"2.1044889535684312","1.905396108099729","14879.748317677058","18754.353160708179","31647.478752557843","40879.916412922736","78944.598602585917","110533.32454566595","263742.16224285949"
"1958","34.722819220759071","21.910289811219759","7.7646732217723473","5.0874330374667558","2.0139882759913217","1.3843058888999404",,"12.812529409539312","14.14561658944741","2.6772401843055915","3.0734447614754341","0.62968238709138125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2539.3939999999998","2539.3939999999998",,"17300.646370655999",,"8.6575378919057727E-2","78693.314710395804",,"78693.314710395804","273245.37405713741","344838.66630205902","611027.87346431427","800693.93817087251","1584874.1322563258",,"57076.419227424507","201652.08181221577","278291.36451149522","421361.80875775596","604648.88964950922",,"181933.18784034404","229050.02730586822","379703.22950939659","481233.31895079493","875485.1822615366","1181779.6820176661",,,,,,,,,,,,,,,,,,,,"2.4158455015704026","1.7062917520950116","15750.934675229892","19830.09290542606","32872.950971565951","41662.956936640832","75795.461392312849","102313.02376952299",
"1959","34.20103704804567","21.514887268638333","7.3937183297775055","4.7331716143993194","1.7724833718175199","1.1920758637235842","0.51","12.686149779407337","14.121168938860826","2.6605467153781861","2.9606882425817993","0.58040750809393571","0.6820758637235842","1.2624833718175199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2557.4110000000001","2557.4110000000001",,"18381.847265436671",,"8.8450400412481547E-2","81262.245910116588",,"81262.245910116588","277925.30829792947","349669.6119905049","600830.15710451617","769256.31132820202","1440359.7963222791","4144374.5414159456","59410.794533692926","206181.00460535404","286879.47571200214","432404.00288083026","601480.44007968274","1139913.7135340939","185222.80106212394","235116.30661919716","391330.07675941382","488965.30785292765","844739.04655486671","1087967.6772507641","2166854.6454399861",,,,,,,,,,,,,,,,,,,"2.633524512735081","1.6121732439298733","16383.030919466275","20796.131463971775","34613.301982817291","43249.177267403757","74717.506911835851","96231.176688667576","191659.16102481252"
"1960","32.170533246789191","20.057273740746552","6.9421035369472763","4.4424203163357951","1.6231849911083622","1.0756062363565992","0.45","12.113259506042638","13.115170203799277","2.4996832206114812","2.8192353252274329","0.54757875475176299","0.62560623635659929","1.1731849911083623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2578.9929999999999","2578.9929999999999",,"19600.525360083495",,"8.8797797032735534E-2","85588.488569784589",,"85588.488569784589","275342.73170766915","343334.3488601853","594164.14922227315","760440.08093377005","1389259.5005812398","3851481.9856403065","64504.683776686295","207351.11455515295","280626.89876966347","427888.21751077619","603235.22602190264","1115679.2244635655","188869.42276629165","233113.09518622089","385192.71949426451","486306.75986102613","835852.61402385915","1073824.8553373998","2108151.168704873",,,,,,,,,,,,,,,,,,,"2.7109312457448032","1.5844770223742566","16771.188668491086","20699.929312018801","34204.264924139134","43182.968957786659","74221.870769372079","95353.281552957022","187199.17959297952"
"1961","31.771377677166509","19.78182914977533","6.7583038541456615","4.2864028820804272","1.5325637760532649","1.0075264249899791","0.42","11.989548527391179","13.023525295629668","2.4719009720652343","2.7538391060271623","0.52503735106328575","0.5875264249899792","1.112563776053265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2605.232","2605.232",,"21349.063495881106",,"9.0974202349028699E-2","90077.052859891701",,"90077.052859891701","286187.20664577105","356377.7739979318","608768.09351308853","772213.07797590154","1380488.2826670515","3783236.2201154516","68287.035772571762","215996.63929361038","293280.19411914254","445323.10905027558","620144.27680311399","1113516.2896172297","196492.79446862335","242821.30455183954","402703.51023758319","505578.70234627038","854721.45819107408","1083445.967977464","2110164.1849530051",,,,,,,,,,,,,,,,,,,"2.8122999907655539","1.551785027366015","17875.775244114648","22090.474494954175","36635.630627018043","45994.619170608952","77757.602889531641","98565.632725021074","191970.5035515879"
"1962","32.199130273169708","19.868448221433841","6.5698088698139401","4.1054056263953438","1.4223357930549672","0.92010722448441473","0.37","12.330682051735867","13.298639351619901","2.4644032434185963","2.6830698333403769","0.50222856857055242","0.55010722448441474","1.0523357930549673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2636.1439999999998","2636.1439999999998",,"22995.925785944379",,"9.5767202076594726E-2","91088.797553641256",,"91088.797553641256","293298.00588560768","361958.61154943809","598435.99010859861","747912.9239566105","1295588.5710688168","3370285.509484726","68621.107738978302","224637.40022177724","302839.26690964802","448959.05626058683","610994.01217855897","1065066.6890226048","204475.77397260076","251409.42455942382","408840.64704676234","503733.15973481489","824617.96704617387","1054561.8985408158","1970931.8194255258",,,,,,,,,,,,,,,,,,,"2.9810755004940601","1.5047763196054922","19582.072765802164","24076.777165742737","39153.524862853032","48241.115301005586","78971.35548610166","100992.44243983569","188750.62583011485"
"1963","32.034875535376116","19.665451068000333","6.4267758494057299","3.9827731139554232","1.3488843509117938","0.86839096836688179","0.35","12.369424467375783","13.238675218594604","2.4440027354503067","2.6338887630436294","0.48049338254491203","0.51839096836688181","0.99888435091179384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2671.3679999999999","2671.3679999999999",,"24916.310421574686",,"9.8244991215757249E-2","94937.894414466849",,"94937.894414466849","304132.36311581248","373399.30342133599","610144.56701632671","756232.18673895462","1280602.4008419053","3322826.3045063396","71694.064558761776","234865.42281028896","314212.98752258834","464056.94729369867","625139.6332132169","1053688.6337680793","213759.30265892856","263023.36546994303","422421.25923055544","519800.11511700333","825019.97909752838","1017066.2952994457","1890624.0523273649",,,,,,,,,,,,,,,,,,,"3.1057678894176521","1.4748861472460524","21000.780812012832","25840.72823013346","41500.772902455035","51067.757743619601","81054.080599260909","99921.669247536818","185744.34341320134"
"1964","31.448221278186963","19.295660649638151","6.276158252505172","3.8838528027513952","1.3123089649830055","0.84628690558413533","0.34","12.152560628548812","13.019502397132978","2.3923054497537768","2.5715438377683899","0.4660220593988702","0.50628690558413525","0.97230896498300545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2701.1909999999998","2701.1909999999998",,"27564.178573163372",,"0.10382480977860052","98285.311101798346",,"98285.311101798346","309089.82119247998","379296.00197288278","616854.16637158988","763451.36198402464","1289806.948850337","3341700.577461144","74862.587758389272","238883.64041207722","319906.46087320603","470256.97075915511","631862.46526744659","1061818.7678935805","217064.50321466525","266993.57669180835","429323.84970090463","526437.65193481348","834485.64288193209","1043843.6909131445","1944746.8976101149",,,,,,,,,,,,,,,,,,,"3.1216616757686304","1.4713286813920143","22536.680755949041","27720.557312135192","44574.467028612904","54657.289072425119","86640.313135189761","108376.87264764951","201912.97671189369"
"1965","30.645886518945336","18.649274801788085","5.9854981230953479","3.6867655102544155","1.2317671267977119","0.78886174365956507","0.32","11.996611717157251","12.663776678692738","2.2987326128409324","2.4549983834567035","0.44290538313814687","0.46886174365956507","0.91176712679771188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2728.7510000000002","2728.7510000000002",,"30590.109024383979",,"0.10824740648722024","103561.80640354172",,"103561.80640354172","317374.33667399257","386270.51731784525","619868.9978527627","763616.19205644494","1275640.2871967144","3313977.8049133355","79804.858595713857","248478.15603013986","327870.89718411595","476121.80364908051","635610.16827137757","1049158.3407837567","227423.73494934698","275929.35279559798","436010.87093297578","532190.65312562929","831626.4846576401","1045446.7554774527","1914488.6697180001",,,,,,,,,,,,,,,,,,,"3.1905222542625711","1.4565121390819402","24618.029481903799","29868.636813820693","47197.045978728747","57608.257957589223","90021.410130273594","113166.89990091335","207238.43324614188"
"1966","31.047178966427367","18.893893274330864","5.9949779648120023","3.6612056732803824","1.2040891714655246","0.76257229927839298","0.31","12.153285692096503","12.898915309518863","2.3337722915316199","2.4571165018148577","0.44151687218713165","0.45257229927839299","0.89408917146552458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2753.72","2753.72",,"32847.026388853294",,"0.11176738548714472","106723.77749582582",,"106723.77749582582","331347.22198860778","403285.5323679134","639806.69440897484","781475.39928326139","1285049.4482061993","3308437.1023706007","81765.616996627825","259408.9116093021","344155.24185764807","498137.9895346883","655581.88705252705","1060228.5977434879","237054.07902237441","288850.08186460502","456911.99101813085","553704.13847332727","855725.79021697701","1076728.3857778977","1898226.9417485367",,,,,,,,,,,,,,,,,,,"3.3017350727211241","1.4344548648762581","26494.914631393789","32284.018447754617","51067.858633822238","61886.06389057573","95642.234266472413","120343.11655818937","212159.86234049252"
"1967","30.380407333373999","18.424493789672901","5.6725878715515101","3.41227126121521","1.08331406116486","0.68083405494689897","0.25317463278770402","11.955913543701097","12.751905918121391","2.2603166103363002","2.32895720005035","0.40248000621796098","0.42765942215919495","0.83013942837715593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2708.4951171875","2708.4951171875",,"35865.08203125",,"0.11672219688551337","113446.29538863854",,"113446.29538863854","344654.46643691073","418038.11296987365","643534.07929404103","774219.06689196581","1228979.6698157433","2872172.4176143957","87756.498605497196","271270.81990394776","361664.12138883182","512849.0916961162","660528.91616102133","1046402.6978381153","247596.436420285","302427.48116387753","473774.4959876042","565445.14891829796","847310.98830332828","1003236.7717929195","1690338.3012360635",,,,,,,,,,,,,,,,,,,"3.5590589584040782","1.3907686443549687","28900","35300","55300","66000","98900","117100","197300"
"1968","30.7669868469238","18.7103977203369","5.8030419349670401","3.50726318359375","1.1313437223434399","0.71676057577133201","0.26957258582115201","12.0565891265869","12.907355785369859","2.2957787513732901","2.3759194612503101","0.41458314657210793","0.44718798995018","0.86177113652228798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2749.72412109375","2749.72412109375",,"38272.36328125",,"0.12077439057518677","115244.79035191897",,"115244.79035191897","354573.49489339814","431255.17253624974","668770.35119867069","808387.62060453126","1303814.7009742935","3106683.6137583344","88652.712069532397","277891.81725054659","371876.37787064444","529153.08179281023","684530.8505120906","1103495.9328871779","253364.97128462268","310496.28833899839","487686.1702177868","583733.022077317","881809.45888275537","1057343.3605570691","1870429.6409541264",,,,,,,,,,,,,,,,,,,"3.4490029783871332","1.4083294339881045","30600","37500","58900","70500","106500","127700","225900"
"1969","30.955389022827099","18.899341583251999","5.9260883331298801","3.6045477390289302","1.1829472780227701","0.75466656684875499","0.29247266054153398","12.056047439575099","12.97325325012212","2.3215405941009499","2.4216004610061601","0.42828071117401512","0.46219390630722101","0.89047461748123613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2777.0849609375","2777.0849609375",,"41542.890625",,"0.12447918764460622","120174.07838073841",,"120174.07838073841","372003.53467354731","454242.19135401491","712162.20383672963","866346.40503435221","1421595.9890938953","3514763.2432141402","92193.027681537424","289764.87799307972","389762.18823333626","557978.00263910717","727534.00901946647","1189021.8497472017","263497.86354362709","324552.24655983335","514142.17276805284","616167.26017671335","944736.24246129708","1143162.9872639675","1969003.8522726523",,,,,,,,,,,,,,,,,,,"3.3311429005661974","1.4289741309969097","32800","40400","64000","76700","117600","142300","245100"
"1970","29.840873718261701","18.290441513061499","5.8530988693237296","3.60133600234985","1.20654380321503","0.77579349279403698","0.29713204503059398","11.550432205200202","12.437342643737768","2.2517628669738796","2.39479219913482","0.43075031042099299","0.47866144776344299","0.90941175818443598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2804.212890625","2804.212890625",,"47014.21875",,"0.13763117889704737","121815.18032128279",,"121815.18032128279","363507.14129346778","445610.68621389259","712996.29420496651","877394.78904754936","1469753.5095416522","3619519.3644633326","94960.517991040004","281403.59637304291","378764.2842161241","548597.79936238378","729305.10892402369","1230890.6367725765","256482.5810756555","315335.52460859629","502793.04845425952","610326.82182308962","957631.84662241919","1174879.1320094476","2021053.6756941739",,,,,,,,,,,,,,,,,,,"3.1831194512805756","1.4580601393173513","35300","43400","69200","84000","131800","161700","278160"
