"Variable","Top 10% income share","Top 5% income share","Top 1% income share","Top 0.5% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 10-5% income share","Top 5-1% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 10% average income","Top 5% average income","Top 1% average income","Top 0.5% average income","Top 0.1% average income","Top 0.01% average income","Bottom 90% average income","Top 10-5% average income","Top 5-1% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.01% average income","P90 income threshold","P95 income threshold","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,"10%","5%","0.010000","0.005000"," 0.002500"," 0.00100"," 0.00050"," 0.00010"," 0.00005"
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1948",,,,,"4.9163557504639241","2.8139262222795676","1.8319956905558905","0.71900748378071822","0.47931062420195225",,,,,"0.98193053172367706","1.1129882067751722","2.0949187384988495","2066.7065190261451","2066.7065190261451","1935.840997782585","0.15945953999096249","5874.086898064018","5874.086898064018",,,,,"165292.47154411185","422351.24400862941",,,,,,"136730.38571472102",,,,,"102240.96725499332","253526.90539149512",,," 936.6792",,,,,"12.560269","17.40542","20.35279","43.16022","55.49182"
"1949",,,,"8.5521137695497504","5.9348480593554669","3.4197225471182491","2.2587803122474353","0.88667015519481951","0.58983368414006987",,,,"5.1323912224315009","1.1609422348708138","1.3721101570526157","2.5330523919234293","2086.3349556349153","2086.3349556349153","1721.3695057122095","0.1530439091730682","5391.0581995726525","5391.0581995726525",,,,,"184359.2327790531","478009.04104793875",,,,,"69172.54945776012","151731.47630473253",,,,"45998.004631247924","109309.62552082949","276185.14634477033",,," 825.0686",,,,"8.532278","14.806837","20.27610","25.80875","51.23023","68.96047"
"1950",,,,"9.2664515972135","6.5155995944849225","4.2862100447178335","3.1364527760988627","1.5858250254021808",,,,,"4.9802415524956665","1.1497572686189708","1.5506277506966819","2.7003850193156529","2125.6303677070687","2125.6303677070687","2657.8678125000001","0.16682737912336193","7495.1150689756578","7495.1150689756578",,,,,"321256.37494959461","1188594.1044650592",,,,,"93318.708768122495","224885.51611454305",,,,"56100.689069102104","145219.36460469","488564.72339010856",,,"1250.3904",,,,"7.484967","11.915391","19.37520","27.99527","65.18442",
"1951",,,"8.7628413056641001","6.5352703107932069","4.7618341370625998","3.1034184341108255","2.2355320441758209","1.0402704938289768",,,,"2.2275709948708933","3.4318518766823813","0.86788638993500467","1.195261550346844","2.0631479402818487","2149.7796178960825","2149.7796178960825","4149.1486656249999","0.20289847446904655","9512.3160911826581","9512.3160911826581",,,"83354.916356348665","124331.11387517302","295206.97108465293","989538.17576319061",,,,"42378.71883752432","81612.149572803042","218059.05945370431",,,"33940.142555256483","57046.803484260869","136664.59310042529","482782.38524297543","1.7335583929938063","2.363217992665573","1930.0344",,,"3.568021","5.997152"," 8.788590","14.36712","21.06374","50.75340",
"1952",,,,"6.5274444577923125","4.6011457145827901","2.8263891904480705","1.950251627425224","0.83154032315122373","0.58234870596810406",,,,"3.7010552673442421","0.87613756302284651","1.1187113042740002","1.9948488672968467","2196.6948511725709","2196.6948511725709","3562.9096999999997","0.20815878445549027","7791.8456382273462","7791.8456382273462",,,,,"220227.88285525719","647923.38399560202",,,,,"72095.12835423644","172706.16050632996",,,,"51509.089420074524","113536.15457885548","346326.55132921453",,,"1621.9411",,,,"6.610640","10.028065","14.57115","20.75520","44.44731","61.69901"
"1953",,,,"6.9186549426479136","4.7449649526231168","2.754421723108277","1.8312191166886747","0.75893996670470898","0.51734516395714802",,,,"4.1642332195396365","0.92320260641960239","1.0722791499839657","1.9954817564035681","2254.6391347598574","2254.6391347598574","3132.7170843749996","0.19989258246723904","6951.0026769053939","6951.0026769053939",,,,,"191459.92770652004","527539.37401749229",,,,,"72363.990640695949","154117.76700530088",,,,"49800.192691800657","110561.38669907868","269004.14269000763",,,"1389.4539",,,,"7.164462","10.585373","15.90582","20.72774","38.70005","52.49201"
"1954",,,,"6.5775112872159749","4.4634804516209323","2.5784882348610805","1.6976785389467237","0.68908209399257236","0.47154723391560582",,,,"3.9990230523548944","0.88080969591435676","1.0085964449541513","1.8894061408685081","2304.4813545376655","2304.4813545376655","3330.501051041666","0.1923778535924085","7512.4449319377736","7512.4449319377736",,,,,"193707.50872043299","517669.12847035687",,,,,"75106.101155914628","157711.77319266368",,,,"57083.379015836494","113168.852557091","277609.03847843956",,,"1445.2280",,,,"7.598509","11.073669","15.06418","19.70954","36.95322","49.30042"
"1955",,,"10.136257424276126","7.1873785634812553","4.96465615067671","2.9551239635195188","2.0145569706713449","0.86135819797860647","0.59978798278345247",,,"2.9488788607948706","4.2322545999617365","0.94056699284817391","1.1531987726927384","2.0937657655409123","2347.5862594989917","2347.5862594989917","3527.3666666666659","0.18512166606416625","8116.5561500356407","8116.5561500356407",,,"82271.502535352818","116673.52336411622","239854.29580222047","699126.21791868738",,,,"47869.481706589402","85878.330254590168","188824.08223372416",,,"38673.981612001204","61555.080604881136","128765.90298755995","351170.1273051849","1.9840777306493149","2.0161798899159917","1502.5504",,,"4.764826","7.583891","11.336137","15.86460","21.17379","43.26590","58.85794"
"1956",,,"10.48224093585273","7.3400194355107073","5.0127733838218358","2.9345171481607548","1.9548786451068836","0.751318401776643","0.49053410932265973",,,"3.1422215003420222","4.4055022873499521","0.97963850305387123","1.2035602433302406","2.1831987463841118","2399.0860490751743","2399.0860490751743","3583.079999999999","0.18791890375056483","7947.6770105437818","7947.6770105437818",,,"83309.465304857673","116672.20744910599","233225.94475483731","597123.59893987211",,,,"49946.723160609363","87533.773122673156","192792.87206761123",,,"40669.165305383867","62129.382267942325","132500.64869707651","356343.11600991158","2.0580001521689804","1.9451794481786457","1493.5188",,,"5.117113","7.817301","11.587511","16.67162","23.21292","44.83613","59.53301"
"1957",,,"10.274229785491155","7.1295749405521187","4.8305430794114432","2.8065010217624939","1.8531126389708406","0.68783399165726644","0.42421829572646808",,,"3.1446548449390361","4.3230739187896248","0.95338838279165339","1.1652786473135741","2.1186670301052275","2384.9930000000004","2384.9930000000004","3653.2733333333322","0.19473838138273836","7865.810912865466","7865.810912865466",,,"80815.148768003739","112159.77674297401","220754.06363947503","541037.21178175393",,,,"49470.520793033458","85011.205018848748","185167.04717922184",,,"40654.192984307709","61384.772176175138","129634.07860707946","332298.05256207596","2.1148010142891884","1.8970210711887565","1531.7753",,,"5.168468","7.803998","11.365709","16.48070","22.41033","42.24587","55.50922"
