"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,200502.7569,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,222288.3691,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,241216.9192,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,234707.5781,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,221641.781,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,230198.5322,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,283824.1913,,
"AUT","Austria","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,256550.5091,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,238737.2,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,301505.37,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,346393.3714,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,396092.658,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,550350.2556,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,514015.1496,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,454198.5616,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,425365.3026,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,581480.2458,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,735347.7162,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,829847.3203,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,1112575.399,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,1297375.7958,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,748310.607,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,1108050.5635,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,1328915.378,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,1309308.6006,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,1556439.786,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,1827277.7524,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,1849889.8152,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,1871138.8178,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,1697379.5218,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,2051337.5484,,
"GBR","United Kingdom","LF52ASNC","Investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,1945931.9622,,
"GRC","Greece","LF51ASNC","Equity","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,2222.494,,
"GRC","Greece","LF51ASNC","Equity","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,2255.8307,,
"GRC","Greece","LF51ASNC","Equity","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,2013.4165,,
"GRC","Greece","LF51ASNC","Equity","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,3121.7387,,
