"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,557605.0906,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,717121.4642,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,862508.1685,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,990441.9084,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,1358565.52,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,723487.6847,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,1083283.5395,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,1324650.1106,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,1159798.4267,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,1264630.6161,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,1258543.6254,,
"CAN","Canada","SAF51ASNC","Shares and other equity, except mutual funds shares","S2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,1278232.049,,
