Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value
2001,729,"Sudan",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,736,"Sudan (...2011)",15,"Receipts",739.6,,,4.70592,,
2001,736,"Sudan (...2011)",16,"Payments",1.9,,,0.01209,,
2001,752,"Sweden",16,"Payments",578.107,,,0.2385,,
2001,756,"Switzerland",15,"Receipts",1176.038,,,0.41037,,
2001,756,"Switzerland",16,"Payments",6921.231,,,2.41511,,
2001,760,"Syrian Arab Republic",15,"Receipts",170,,,0.8092,,
2001,764,"Thailand",15,"Receipts",1252.447,,,1.04113,,
2001,626,"Timor-Leste",15,"Receipts",,,"Not applicable",,,"Not applicable"
2001,626,"Timor-Leste",16,"Payments",,,"Not applicable",,,"Not applicable"
2001,776,"Tonga",15,"Receipts",52.81,,,31.6365,,
2001,788,"Tunisia",15,"Receipts",927.148,,,4.20174,,
2001,788,"Tunisia",16,"Payments",20.921,,,0.09481,,
2001,798,"Tuvalu",15,"Receipts",4.3,,,32.3827,,
2001,800,"Uganda",15,"Receipts",348.6,,,4.94693,,
2001,800,"Uganda",16,"Payments",354.7,,,5.0335,,
2001,784,"United Arab Emirates",16,"Payments",14360.209,,,13.72059,,
2001,826,"United Kingdom",15,"Receipts",4955.597,,,0.30035,,
2001,826,"United Kingdom",16,"Payments",5462.692,,,0.33109,,
2001,840,"United States",15,"Receipts",4513,,,0.04265,,
2001,840,"United States",16,"Payments",39007,,,0.36862,,
2001,887,"Yemen",15,"Receipts",1294.6,"Imputed from EIU",,11.51734,,
2002,008,"Albania",15,"Receipts",733.57,,,16.84097,,
2002,012,"Algeria",15,"Receipts",1070,"Imputed from EIU",,1.88317,,
2002,660,"Anguilla",15,"Receipts",2.235,"Imputed from IMF_bop",,1.41791,,
2002,028,"Antigua and Barbuda",15,"Receipts",26.477,,,3.29925,,
2002,533,"Aruba",16,"Payments",45.961,,,2.34274,,
2002,036,"Australia",15,"Receipts",465.723,,,0.10673,,
2002,036,"Australia",16,"Payments",991.488,,,0.22723,,
2002,044,"Bahamas",16,"Payments",57.67,,,0.64935,,
2002,048,"Bahrain",16,"Payments",871.543,,,9.08471,,
2002,050,"Bangladesh",15,"Receipts",2858.058,,,6.05588,,
2002,050,"Bangladesh",16,"Payments",5.735,,,0.01215,,
2002,052,"Barbados",15,"Receipts",125.061,,,3.90733,,
2002,056,"Belgium",15,"Receipts",4534.639,,,1.76329,,
2002,084,"Belize",16,"Payments",16.651,,,1.34277,,
2002,204,"Benin",15,"Receipts",76.108,,,1.8231,,
2002,068,"Bolivia (Plurinational State of)",16,"Payments",37.88,,,0.47916,,
2002,070,"Bosnia and Herzegovina",15,"Receipts",1495.73,,,22.23069,,
2002,072,"Botswana",16,"Payments",129.616,,,2.39357,,
2002,076,"Brazil",15,"Receipts",2003.791,,,0.39306,,
2002,076,"Brazil",16,"Payments",329.421,,,0.06462,,
2002,100,"Bulgaria",15,"Receipts",1176.951,,,7.1752,,
2002,132,"Cabo Verde",15,"Receipts",85.022,,,11.74546,,
2002,116,"Cambodia",16,"Payments",69.656,,,1.62391,,
2002,120,"Cameroon",16,"Payments",55.839,,,0.45181,,
2002,124,"Canada",15,"Receipts",635.318,,,0.08352,,
2002,124,"Canada",16,"Payments",1970.68,,,0.25908,,
2002,344,"China, Hong Kong SAR",15,"Receipts",120.53,,,0.07246,,
2002,344,"China, Hong Kong SAR",16,"Payments",298.888,,,0.17968,,
2002,446,"China, Macao SAR",15,"Receipts",46.6,,,0.63215,,
2002,158,"China, Taiwan Province of",15,"Receipts",315,"Imputed from EIU",,0.10246,,
2002,170,"Colombia",15,"Receipts",2479.943,,,2.54797,,
2002,170,"Colombia",16,"Payments",157.548,,,0.16187,,
2002,188,"Costa Rica",15,"Receipts",250.646,,,1.51184,,
2002,188,"Costa Rica",16,"Payments",147.801,,,0.8915,,
2002,191,"Croatia",15,"Receipts",1331.305,,,4.91523,,
2002,191,"Croatia",16,"Payments",128.417,,,0.47412,,
2002,192,"Cuba",15,"Receipts",779.6,"Imputed from EIU",,2.32089,,
2002,531,"Curacao",15,"Receipts",,,"Not applicable",,,"Not applicable"
2002,531,"Curacao",16,"Payments",,,"Not applicable",,,"Not applicable"
2002,203,"Czechia",15,"Receipts",332.665,,,0.40472,,
2002,203,"Czechia",16,"Payments",892.551,,,1.08588,,
2002,208,"Denmark",15,"Receipts",784.859,,,0.43937,,
2002,208,"Denmark",16,"Payments",860.118,,,0.48149,,
2002,262,"Djibouti",15,"Receipts",14.956,,,2.53482,,
2002,214,"Dominican Republic",15,"Receipts",2194.3,,,8.5532,,
2002,218,"Ecuador",15,"Receipts",1438.023,,,5.03704,,
2002,818,"Egypt",15,"Receipts",2893.1,,,3.34378,,
2002,222,"El Salvador",15,"Receipts",1952.6,,,15.41828,,
2002,222,"El Salvador",16,"Payments",21.6,,,0.17056,,
2002,748,"Eswatini",15,"Receipts",44.131,,,3.08129,,
2002,231,"Ethiopia",16,"Payments",16.578,,,0.21556,,
2002,234,"Faroe Islands",15,"Receipts",39.75,,,,,"No value reported or collected"
2002,246,"Finland",15,"Receipts",477.153,,,0.34145,,
2002,250,"France",15,"Receipts",10599.319,,,0.70929,,
2002,250,"France",16,"Payments",6134.108,,,0.41049,,
2002,258,"French Polynesia",15,"Receipts",407.978,,,10.37762,,
2002,268,"Georgia",15,"Receipts",226.329,,,6.33569,,
2002,268,"Georgia",16,"Payments",18.912,,,0.5294,,
2002,276,"Germany",15,"Receipts",4653.643,,,0.22495,,
2002,276,"Germany",16,"Payments",10126.521,,,0.48951,,
2002,300,"Greece",15,"Receipts",1660.398,,,1.07932,,
2002,300,"Greece",16,"Payments",411.734,,,0.26764,,
2002,308,"Grenada",15,"Receipts",31.14,,,5.76303,,
2002,324,"Guinea",16,"Payments",17.81,,,0.43657,,
2002,328,"Guyana",16,"Payments",53.1,,,3.89508,,
2002,332,"Haiti",15,"Receipts",675.66,,,11.72763,,
2002,332,"Haiti",16,"Payments",22,,,0.38186,,
2002,340,"Honduras",15,"Receipts",801.399,,,10.19591,,
2002,348,"Hungary",15,"Receipts",443.557,,,0.65612,,
2002,348,"Hungary",16,"Payments",391.634,,,0.57932,,
2002,352,"Iceland",15,"Receipts",64.782,,,0.69521,,
2002,352,"Iceland",16,"Payments",20.675,,,0.22187,,
2002,356,"India",15,"Receipts",15735.736,,,3.06874,,
2002,356,"India",16,"Payments",1186.8,,,0.23145,,
2002,360,"Indonesia",15,"Receipts",,,"Not applicable",,,"Not applicable"
2002,360,"Indonesia",16,"Payments",,,"Not applicable",,,"Not applicable"
2002,364,"Iran (Islamic Republic of)",15,"Receipts",851,"Imputed from EIU",,0.56714,,
2002,376,"Israel",15,"Receipts",3395,,,2.71481,,
2002,376,"Israel",16,"Payments",2780.5,,,2.22343,,
2002,380,"Italy",15,"Receipts",2272.672,,,0.17884,,
2002,388,"Jamaica",15,"Receipts",1241.6,,,12.77497,,
2002,388,"Jamaica",16,"Payments",242.3,,,2.49305,,
2002,392,"Japan",15,"Receipts",1126.867,,,0.02694,,
2002,392,"Japan",16,"Payments",2678.81,,,0.06404,,
2002,400,"Jordan",15,"Receipts",2134.979,,,21.60565,,
2002,400,"Jordan",16,"Payments",193.935,,,1.96259,,
