alpha2;year;p2;shweal992i;ahweal992i
GB;1927;p95p100;.8165611267089844;586615.6211099317
GB;1928;p95p100;.8009921264648437;561392.2261473925
GB;1929;p95p100;.7985860443115235;531198.2984576095
GB;1930;p95p100;.7918225860595703;584687.5126583152
GB;1931;p95p100;.7743679809570313;
GB;1932;p95p100;.7757184600830078;
GB;1933;p95p100;.7887408447265625;
GB;1934;p95p100;.7788052368164062;
GB;1935;p95p100;.781988525390625;
GB;1936;p95p100;.7753274536132813;641326.4478685169
GB;1937;p95p100;.7740785980224609;
GB;1938;p95p100;.7748982238769532;642975.6353827565
GB;1939;p95p100;.7527603912353515;
GB;1940;p95p100;.7522780609130859;
GB;1941;p95p100;.7438858032226563;
GB;1946;p95p100;.7274871826171875;
GB;1947;p95p100;.717262191772461;
GB;1948;p95p100;.7125354766845703;
GB;1949;p95p100;.7024069976806641;
GB;1950;p95p100;.6895296478271484;477545.4760024177
GB;1951;p95p100;.6815553283691407;423886.2304585548
GB;1952;p95p100;.6465974426269532;380613.6329298365
GB;1953;p95p100;.6490160369873047;339664.9452315572
GB;1954;p95p100;.6557778167724609;367131.6454453137
GB;1955;p95p100;.6215070343017578;339137.6408283137
GB;1956;p95p100;.6191217041015625;334262.8031837262
GB;1957;p95p100;.5970929718017578;339628.651517123
GB;1958;p95p100;.5942411041259765;361409.60446709
GB;1959;p95p100;.5970735549926758;392950.487402662
GB;1960;p95p100;.5911735534667969;376359.0875386322
GB;1961;p95p100;.579177131652832;381307.2562706268
GB;1962;p95p100;.5570509338378906;373664.661955209
GB;1963;p95p100;.562304573059082;407969.2394646028
GB;1964;p95p100;.5599752807617188;425094.601370756
GB;1965;p95p100;.5518157577514649;411908.21614128
GB;1966;p95p100;.5320476913452148;395904.2304277851
GB;1967;p95p100;.5349364852905274;419651.872866943
GB;1968;p95p100;.5448699569702149;432533.5272931021
GB;1969;p95p100;.5053874206542969;388139.8381966325
GB;1970;p95p100;.5014019393920899;387940.4731647774
GB;1971;p95p100;.49399169921875;396490.6495366743
GB;1972;p95p100;.5212019348144531;486980.6817482594
GB;1973;p95p100;.4876477432250976;479915.2817861848
GB;1974;p95p100;.4643190383911133;378112.8579745789
GB;1975;p95p100;.4401298522949219;337999.2682991236
GB;1976;p95p100;.4590438079833984;325443.7853285158
GB;1977;p95p100;.4289069747924805;279675.5681179555
GB;1978;p95p100;.4335802459716797;318299.7677376469
GB;1979;p95p100;.3958843612670899;321029.0279141173
GB;1980;p95p100;.3834579086303711;330117.9616419993
GB;1981;p95p100;.3842149353027344;300538.2632283119
GB;1982;p95p100;.3710665512084961;314348.9241461255
GB;1983;p95p100;.3704543685913086;350619.888650711
GB;1984;p95p100;.3382757186889648;362048.2227138947
GB;1985;p95p100;.3519104766845703;377684.0603639552
GB;1986;p95p100;.3528331756591797;403230.3846216395
GB;1987;p95p100;.3649771118164062;498799.5421314785
GB;1988;p95p100;.3453280258178711;540799.5454977354
GB;1989;p95p100;.3533507919311523;577070.285149872
GB;1990;p95p100;.3380947494506836;518871.5769921536
GB;1991;p95p100;.332705192565918;
GB;1992;p95p100;.3564302825927734;503658.6420958518
GB;1993;p95p100;.3742212677001953;529094.4268918723
GB;1994;p95p100;.3681058883666992;526378.4756758014
GB;1995;p95p100;.3462665557861328;501914.9971148777
GB;1996;p95p100;.3569754409790039;511465.8289274453
GB;1997;p95p100;.3934586715698242;578483.0095736643
GB;1998;p95p100;.3922801971435547;
GB;1999;p95p100;.3777090835571289;656715.8689357162
GB;2000;p95p100;.3813782119750976;708210.6607232244
GB;2001;p95p100;.3759953689575195;798644.1848711417
GB;2002;p95p100;.3777266311645508;830478.8165374089
GB;2003;p95p100;.3688291549682617;855266.1577258463
GB;2005;p95p100;.3725309371948242;918319.306266412
GB;2006;p95p100;.3861982345581055;971008.7932619937
GB;2009;p95p100;.4034812545776367;941643.3172748898
GB;2012;p95p100;.389615592956543;922838.0068762668
GB;1895;p95p99;.1945783996582031;
