"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1986","1986","ZAR","Rand","0","Units",,,0.821,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1987","1987","ZAR","Rand","0","Units",,,0.916,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1988","1988","ZAR","Rand","0","Units",,,1.02,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1989","1989","ZAR","Rand","0","Units",,,1.151,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1990","1990","ZAR","Rand","0","Units",,,1.229148,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1991","1991","ZAR","Rand","0","Units",,,1.376631,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1992","1992","ZAR","Rand","0","Units",,,1.542071,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1993","1993","ZAR","Rand","0","Units",,,1.754334,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1994","1994","ZAR","Rand","0","Units",,,1.882014,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1995","1995","ZAR","Rand","0","Units",,,2.031855,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1996","1996","ZAR","Rand","0","Units",,,2.153181,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1997","1997","ZAR","Rand","0","Units",,,2.286032,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1998","1998","ZAR","Rand","0","Units",,,2.437599,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","ZAR","Rand","0","Units",,,2.569586,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","ZAR","Rand","0","Units",,,2.733416,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","ZAR","Rand","0","Units",,,2.876738,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","ZAR","Rand","0","Units",,,3.179053,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","ZAR","Rand","0","Units",,,3.297481,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","ZAR","Rand","0","Units",,,3.418707,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","ZAR","Rand","0","Units",,,3.492615,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","ZAR","Rand","0","Units",,,3.601111,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","ZAR","Rand","0","Units",,,3.81817,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2008","2008","ZAR","Rand","0","Units",,,4.07543,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2009","2009","ZAR","Rand","0","Units",,,4.348249,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2010","2010","ZAR","Rand","0","Units",,,4.568608,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2011","2011","ZAR","Rand","0","Units",,,4.773938,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2012","2012","ZAR","Rand","0","Units",,,4.948256,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2013","2013","ZAR","Rand","0","Units",,,5.167443,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2014","2014","ZAR","Rand","0","Units",,,5.388713,,
"ZAF","South Africa","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2015","2015","ZAR","Rand","0","Units",,,5.593462,,
"ITA","Italy","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1960","1960","EUR","Euro","0","Units",,,0.161713,,
"ITA","Italy","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1961","1961","EUR","Euro","0","Units",,,0.164611,,
"ITA","Italy","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1962","1962","EUR","Euro","0","Units",,,0.170241,,
"ITA","Italy","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1963","1963","EUR","Euro","0","Units",,,0.181974,,
