currency;lcu_to_usd;year
YER;1,713636e+02;2002
ZAR;8,586564e+00;2002
ZMK;4,548310e+03;2002
ZWD;5,542968e+01;2002
AED;3,672460e+00;2003
ALL;1,138389e+02;2003
AMD;5,549235e+02;2003
ANG;1,790000e+00;2003
ARS;2,938840e+00;2003
AUD;1,329903e+00;2003
AWG;1,790000e+00;2003
BBD;2,000000e+00;2003
BDT;5,859141e+01;2003
BGN;1,548508e+00;2003
BHD;3,765000e-01;2003
BIF;1,060285e+03;2003
BMD;1,000000e+00;2003
BND;1,698480e+00;2003
BOB;7,801626e+00;2003
BRL;2,900058e+00;2003
BSD;1,000000e+00;2003
BTN;4,552220e+01;2003
BWP;4,616297e+00;2003
BYR;2,162841e+03;2003
BZD;2,000000e+00;2003
CAD;1,289857e+00;2003
CDF;3,672775e+02;2003
CHF;1,237046e+00;2003
CLP;5,956504e+02;2003
CNY;8,275696e+00;2003
COP;2,778834e+03;2003
CRC;4,187015e+02;2003
CVE;8,730166e+01;2003
CYP;4,652980e-01;2003
CZK;2,575626e+01;2003
DJF;1,777210e+02;2003
DKK;5,901719e+00;2003
DOP;3,274502e+01;2003
DZD;7,216476e+01;2003
EEK;1,235702e+01;2003
EGP;6,164403e+00;2003
ETB;8,550644e+00;2003
EUR;7,941120e-01;2003
FJD;1,742670e+00;2003
FKP;5,593680e-01;2003
GBP;5,594870e-01;2003
GEL;2,156160e+00;2003
GIP;5,575390e-01;2003
GMD;3,173028e+01;2003
GNF;2,005145e+03;2003
GTQ;8,020850e+00;2003
GYD;1,790022e+02;2003
HKD;7,763587e+00;2003
HNL;1,774008e+01;2003
HRK;6,077469e+00;2003
HTG;4,079315e+01;2003
HUF;2,079622e+02;2003
IDR;8,463538e+03;2003
IEP;7,107230e-01;2003
ILS;4,380669e+00;2003
INR;4,557643e+01;2003
IQD;3,109180e+03;2003
IRR;8,302560e+03;2003
ISK;7,083135e+01;2003
JMD;5,995805e+01;2003
JOD;7,090000e-01;2003
JPY;1,071444e+02;2003
KES;7,595600e+01;2003
KGS;4,307586e+01;2003
KHR;3,970419e+03;2003
KMF;3,895234e+02;2003
KPW;2,200060e+00;2003
KRW;1,192072e+03;2003
KWD;2,944700e-01;2003
KZT;1,431949e+02;2003
LAK;1,049661e+04;2003
LBP;1,515119e+03;2003
LKR;9,637993e+01;2003
LSL;6,611065e+00;2003
LTL;2,733492e+00;2003
LVL;5,324620e-01;2003
LYD;1,213979e+00;2003
MAD;8,763617e+00;2003
MDL;1,312391e+01;2003
MKD;4,858622e+01;2003
MMK;5,746889e+00;2003
MNT;1,120437e+03;2003
MOP;7,996078e+00;2003
MRO;2,570924e+02;2003
MTL;3,428160e-01;2003
MUR;2,575816e+01;2003
MVR;1,177000e+01;2003
MWK;1,060064e+02;2003
MXN;1,123297e+01;2003
MYR;3,800558e+00;2003
NAD;6,611065e+00;2003
NGN;1,395537e+02;2003
NIO;1,522000e+01;2003
NOK;6,661154e+00;2003
NPR;7,300423e+01;2003
NZD;1,524466e+00;2003
OMR;3,844970e-01;2003
PAB;1,000000e+00;2003
PEN;3,469040e+00;2003
PGK;3,260298e+00;2003
PHP;5,554982e+01;2003
PKR;5,746101e+01;2003
PLN;3,722803e+00;2003
PYG;5,975683e+03;2003
QAR;3,640000e+00;2003
RON;3,270462e+00;2003
RUB;2,930008e+01;2003
RWF;5,304555e+02;2003
SAR;3,749065e+00;2003
SBD;7,408337e+00;2003
SCR;5,180144e+00;2003
SEK;7,191989e+00;2003
SGD;1,698467e+00;2003
SHP;5,593680e-01;2003
SIT;1,882577e+02;2003
SKK;3,249818e+01;2003
SLL;2,450052e+03;2003
SOS;2,620065e+03;2003
STD;8,700195e+03;2003
SVC;8,750673e+00;2003
SYP;5,123072e+01;2003
SZL;6,610431e+00;2003
THB;3,962785e+01;2003
TJS;2,677200e+00;2003
TND;1,221330e+00;2003
TOP;2,062557e+00;2003
TRY;1,401814e+00;2003
TTD;6,250500e+00;2003
TWD;3,398672e+01;2003
TZS;1,062858e+03;2003
UAH;5,333019e+00;2003
UGX;1,944239e+03;2003
USD;1,000000e+00;2003
UYU;2,925792e+01;2003
UZS;9,346880e+02;2003
VEF;1,599873e+00;2003
VND;1,564905e+04;2003
VUV;1,142655e+02;2003
WST;2,823101e+00;2003
XAF;5,197039e+02;2003
XCD;2,670210e+00;2003
XDR;6,754320e-01;2003
XOF;5,193642e+02;2003
XPF;9,448274e+01;2003
YER;1,780103e+02;2003
ZAR;6,639719e+00;2003
ZMK;4,619592e+03;2003
ZWD;8,119739e+02;2003
AED;3,672530e+00;2004
ALL;9,230246e+01;2004
AMD;4,840175e+02;2004
ANG;1,790000e+00;2004
ARS;2,967639e+00;2004
AUD;1,280385e+00;2004
AWG;1,790000e+00;2004
BBD;2,000000e+00;2004
BDT;6,018359e+01;2004
BGN;1,435919e+00;2004
BHD;3,764000e-01;2004
BIF;1,068278e+03;2004
BMD;1,000000e+00;2004
BND;1,632864e+00;2004
BOB;8,027737e+00;2004
BRL;2,669684e+00;2004
BSD;1,000000e+00;2004
BTN;4,345641e+01;2004
BWP;4,281230e+00;2004
BYR;2,174209e+03;2004
BZD;1,990000e+00;2004
CAD;1,203212e+00;2004
CDF;4,287993e+02;2004
CHF;1,136889e+00;2004
CLP;5,586171e+02;2004
CNY;8,275583e+00;2004
COP;2,360087e+03;2004
CRC;4,578419e+02;2004
CVE;8,095000e+01;2004
CYP;4,272210e-01;2004
CZK;2,235446e+01;2004
DJF;1,777210e+02;2004
DKK;5,470335e+00;2004
DOP;2,797504e+01;2004
DZD;7,207312e+01;2004
EEK;1,153266e+01;2004
EGP;6,154013e+00;2004
ETB;8,593037e+00;2004
EUR;7,374890e-01;2004
FJD;1,642376e+00;2004
FKP;5,196100e-01;2004
GBP;5,202950e-01;2004
GEL;1,779219e+00;2004
GIP;5,181740e-01;2004
GMD;2,947604e+01;2004
GNF;2,799712e+03;2004
GTQ;7,742586e+00;2004
GYD;1,790409e+02;2004
HKD;7,772853e+00;2004
HNL;1,861016e+01;2004
HRK;5,626671e+00;2004
HTG;3,597120e+01;2004
HUF;1,804811e+02;2004
IDR;9,248196e+03;2004
IEP;6,880390e-01;2004
ILS;4,327594e+00;2004
INR;4,344638e+01;2004
IQD;1,460200e+03;2004
IRR;8,786000e+03;2004
