currency,lcu_to_usd,year
MKD,48.586223,2003
MMK,5.746889,2003
MNT,1120.436627,2003
MOP,7.996078,2003
MRO,257.092423,2003
MTL,0.342816,2003
MUR,25.758161,2003
MVR,11.77,2003
MWK,106.006396,2003
MXN,11.232971,2003
MYR,3.800558,2003
NAD,6.611065,2003
NGN,139.553716,2003
NIO,15.219995,2003
NOK,6.661154,2003
NPR,73.004227,2003
NZD,1.524466,2003
OMR,0.384497,2003
PAB,1,2003
PEN,3.46904,2003
PGK,3.260298,2003
PHP,55.549823,2003
PKR,57.461013,2003
PLN,3.722803,2003
PYG,5975.683121,2003
QAR,3.64,2003
RON,3.270462,2003
RUB,29.300084,2003
RWF,530.455467,2003
SAR,3.749065,2003
SBD,7.408337,2003
SCR,5.180144,2003
SEK,7.191989,2003
SGD,1.698467,2003
SHP,0.559368,2003
SIT,188.257714,2003
SKK,32.498184,2003
SLL,2450.052243,2003
SOS,2620.064592,2003
STD,8700.194725,2003
SVC,8.750673,2003
SYP,51.230725,2003
SZL,6.610431,2003
THB,39.627854,2003
TJS,2.6772,2003
TND,1.22133,2003
TOP,2.062557,2003
TRY,1.401814,2003
TTD,6.2505,2003
TWD,33.986721,2003
TZS,1062.858183,2003
UAH,5.333019,2003
UGX,1944.23853,2003
USD,1,2003
UYU,29.257918,2003
UZS,934.687965,2003
VEF,1.599873,2003
VND,15649.051705,2003
VUV,114.265511,2003
WST,2.823101,2003
XAF,519.703926,2003
XCD,2.67021,2003
XDR,0.675432,2003
XOF,519.364212,2003
XPF,94.48274,2003
YER,178.010322,2003
ZAR,6.639719,2003
ZMK,4619.592028,2003
ZWD,811.973879,2003
AED,3.67253,2004
ALL,92.302458,2004
AMD,484.017463,2004
ANG,1.79,2004
ARS,2.967639,2004
AUD,1.280385,2004
AWG,1.79,2004
BBD,2,2004
BDT,60.183593,2004
BGN,1.435919,2004
BHD,0.3764,2004
BIF,1068.27781,2004
BMD,1,2004
BND,1.632864,2004
BOB,8.027737,2004
BRL,2.669684,2004
BSD,1,2004
BTN,43.456413,2004
BWP,4.28123,2004
BYR,2174.208539,2004
BZD,1.99,2004
CAD,1.203212,2004
CDF,428.79931,2004
CHF,1.136889,2004
CLP,558.617086,2004
CNY,8.275583,2004
COP,2360.086776,2004
CRC,457.841943,2004
CVE,80.950004,2004
CYP,0.427221,2004
CZK,22.354456,2004
DJF,177.721,2004
DKK,5.470335,2004
DOP,27.975036,2004
DZD,72.073121,2004
EEK,11.53266,2004
EGP,6.154013,2004
ETB,8.593037,2004
EUR,0.737489,2004
FJD,1.642376,2004
FKP,0.51961,2004
GBP,0.520295,2004
GEL,1.779219,2004
GIP,0.518174,2004
GMD,29.476042,2004
GNF,2799.711622,2004
GTQ,7.742586,2004
GYD,179.040945,2004
HKD,7.772853,2004
HNL,18.610165,2004
HRK,5.626671,2004
HTG,35.971199,2004
HUF,180.481137,2004
IDR,9248.196167,2004
IEP,0.688039,2004
ILS,4.327594,2004
INR,43.446377,2004
IQD,1460.199589,2004
IRR,8785.99956,2004
ISK,61.375817,2004
JMD,61.228023,2004
JOD,0.70901,2004
JPY,102.588932,2004
KES,79.604415,2004
KGS,41.438802,2004
KHR,3848.987372,2004
KMF,361.183467,2004
KPW,2.200088,2004
KRW,1034.456141,2004
KWD,0.294731,2004
KZT,129.997798,2004
LAK,10837.2248,2004
LBP,1513.130484,2004
LKR,104.650836,2004
LRD,47.001834,2004
LSL,5.639993,2004
LTL,2.534909,2004
LVL,0.513643,2004
LYD,1.297843,2004
MAD,8.210651,2004
MDL,12.34165,2004
MKD,45.051318,2004
MMK,5.497219,2004
MNT,1215.460811,2004
MOP,8.008033,2004
MRO,262.856341,2004
MTL,0.320278,2004
MUR,28.216174,2004
MVR,12.285,2004
MWK,107.933079,2004
MXN,11.159951,2004
MYR,3.800956,2004
NAD,5.639993,2004
NGN,132.518274,2004
NIO,16.18167,2004
NOK,6.055757,2004
NPR,70.749841,2004
NZD,1.386737,2004
OMR,0.384497,2004
PAB,1,2004
PEN,3.279349,2004
PGK,3.067611,2004
PHP,56.197662,2004
PKR,59.605282,2004
PLN,2.998679,2004
PYG,6109.550922,2004
QAR,3.64,2004
RON,2.899533,2004
RUB,27.821183,2004
RWF,553.580616,2004
SAR,3.750185,2004
SBD,7.247607,2004
SCR,5.46453,2004
SEK,6.636186,2004
SGD,1.633346,2004
SHP,0.51961,2004
SIT,175.412142,2004
SKK,28.552458,2004
SLL,2429.855444,2004
SOS,3090.80569,2004
STD,9046.220982,2004
SVC,8.751917,2004
SYP,52.114984,2004
SZL,5.639898,2004
THB,38.8989,2004
TJS,2.785023,2004
TND,1.197711,2004
TOP,1.917001,2004
TRY,1.348065,2004
TTD,6.23775,2004
TWD,31.752693,2004
TZS,1035.749923,2004
UAH,5.301402,2004
UGX,1734.757481,2004
USD,1,2004
UYU,26.231008,2004
UZS,1056.765289,2004
VEF,1.916042,2004
VND,15770.024888,2004
VUV,106.405226,2004
WST,2.690981,2004
XAF,482.082586,2004
XCD,2.692703,2004
XDR,0.646195,2004
XOF,482.082586,2004
XPF,87.67041,2004
YER,183.794982,2004
ZAR,5.642737,2004
ZMK,4701.027296,2004
ZWD,5662.411646,2004
AED,3.67275,2005
ALL,103.700539,2005
AMD,443.292362,2005
ANG,1.785,2005
ARS,3.028571,2005
AUD,1.364509,2005
AWG,1.79,2005
BBD,2,2005
BDT,66.478531,2005
BGN,1.663887,2005
BHD,0.3765,2005
BIF,1051.939148,2005
BMD,1,2005
BND,1.665526,2005
BOB,8.036086,2005
BRL,2.348806,2005
BSD,1,2005
BTN,45.974316,2005
BWP,5.097059,2005
BYR,2156.935577,2005
BZD,1.98,2005
CAD,1.163166,2005
CDF,439.849114,2005
CHF,1.316058,2005
CLP,515.644009,2005
CNY,8.071844,2005
COP,2288.629044,2005
CRC,498.680711,2005
CVE,93.466135,2005
CYP,0.487824,2005
CZK,24.586241,2005
DJF,177.721,2005
DKK,6.317783,2005
DOP,33.620615,2005
DZD,74.843604,2005
EEK,13.289596,2005
EGP,6.039157,2005
ETB,8.823952,2005
EUR,0.846337,2005
FJD,1.809189,2005
FKP,0.581105,2005
GBP,0.581105,2005
GEL,1.78008,2005
GIP,0.572942,2005
GMD,29.254128,2005
GNF,4314.66149,2005
GTQ,7.960333,2005
GYD,181.847927,2005
HKD,7.753813,2005
HNL,18.862776,2005
HRK,6.237612,2005
HTG,42.260014,2005
HUF,213.876368,2005
IDR,9816.960516,2005
IEP,0.732739,2005
ILS,4.635569,2005
INR,45.064472,2005
IQD,1476.204789,2005
IRR,9111.923413,2005
ISK,63.210986,2005
JMD,65.233958,2005
JOD,0.70875,2005
JPY,117.833165,2005
KES,72.661858,2005
KGS,41.270916,2005
KHR,4186.064254,2005
KMF,417.028058,2005
KPW,2.234551,2005
KRW,1005.525199,2005
KWD,0.296512,2005
KZT,134.310282,2005
LAK,10459.451555,2005
LBP,1540.397968,2005
LKR,100.024583,2005
LRD,49.220017,2005
LSL,6.737215,2005
LTL,2.926846,2005
LVL,0.59574800000000006,2005
LYD,1.38264,2005
MAD,9.49555,2005
MDL,12.815801,2005
MKD,52.016953,2005
MMK,6.357464,2005
MNT,1138.221582,2005
MOP,7.996363,2005
MRO,269.732039,2005
MTL,0.362946,2005
MUR,30.587397,2005
MVR,12.79,2005
MWK,125.781506,2005
MXN,10.688311,2005
MYR,3.779133,2005
NAD,6.684498,2005
NGN,130.787976,2005
NIO,16.18499,2005
NOK,6.759635,2005
NPR,74.247436,2005
NZD,1.465316,2005
OMR,0.384497,2005
PAB,1,2005
PEN,3.537303,2005
PGK,3.28219,2005
PHP,53.117661,2005
PKR,59.933936,2005
PLN,3.272018,2005
PYG,6013.384759,2005
QAR,3.64,2005
RON,3.117047,2005
RUB,28.648042,2005
RWF,545.953487,2005
SAR,3.75015,2005
SBD,7.62148,2005
SCR,5.339546,2005
SEK,7.95489,2005
SGD,1.663257,2005
SHP,0.581105,2005
SIT,202.545565,2005
SKK,32.002429,2005
SLL,2445.524032,2005
SOS,1728.020675,2005
STD,7334.05526,2005
SVC,8.820664,2005
SYP,52.168941,2005
SZL,6.701867,2005
THB,41.034622,2005
TJS,2.782809,2005
TND,1.393829,2005
TOP,2.044788,2005
TRY,1.349543,2005
TTD,6.25175,2005
TWD,33.30059,2005
TZS,1162.227685,2005
UAH,5.545478,2005
UGX,1818.002035,2005
USD,1,2005
UYU,24.230644,2005
UZS,1175.273375,2005
VEF,2.15,2005
VND,16457.150123,2005
VUV,114.374676,2005
WST,2.816508,2005
XAF,555.191049,2005
XCD,2.689262,2005
XDR,0.699158,2005
XOF,556.093574,2005
XPF,100.452139,2005
YER,187.331769,2005
ZAR,6.323656,2005
ZMK,3451.627876,2005
ZWD,82002.005828,2005
AED,3.6726,2006
ALL,93.549407,2006
AMD,446.474532,2006
ANG,1.785,2006
ARS,3.061623,2006
AUD,1.270775,2006
AWG,1.79,2006
BBD,2,2006
BDT,69.032821,2006
BGN,1.486426,2006
BHD,0.3765,2006
BIF,1023.245226,2006
BMD,1,2006
BND,1.536222,2006
BOB,7.989113,2006
BRL,2.140181,2006
BSD,1,2006
BTN,44.252276,2006
BWP,6.057177,2006
BYR,2142.378679,2006
BZD,1.9925,2006
CAD,1.158645,2006
CDF,485.515173,2006
CHF,1.219161,2006
CLP,532.779171,2006
CNY,7.806294,2006
COP,2232.64,2006
CRC,517.713513,2006
CVE,83.722096,2006
CYP,0.43964,2006
CZK,20.979665,2006
DJF,177.721,2006
DKK,5.666721,2006
DOP,33.309727,2006
DZD,71.148786,2006
EEK,11.87338,2006
EGP,5.71186,2006
ETB,8.771657,2006
EUR,0.760001,2006
FJD,1.658667,2006
FKP,0.509986,2006
GBP,0.509986,2006
GEL,1.714774,2006
GIP,0.509871,2006
GMD,27.766979,2006
GNF,5554.419184,2006
GTQ,7.631352,2006
GYD,190.030597,2006
HKD,7.77732,2006
HNL,18.905,2006
HRK,5.578635,2006
HTG,37.464714,2006
HUF,192.559067,2006
IDR,9042.20478,2006
IEP,0.697939,2006
ILS,4.198191,2006
INR,44.33136,2006
IQD,1323.654503,2006
IRR,9228.089484,2006
ISK,70.713743,2006
JMD,66.946997,2006
JOD,0.70885,2006
JPY,118.961013,2006
KES,69.407064,2006
KGS,38.101858,2006
KHR,4046.935376,2006
KMF,373.552012,2006
KPW,170.012831,2006
KRW,929.252565,2006
KWD,0.289106,2006
KZT,126.812084,2006
LAK,9691.32126,2006
LBP,1510.793272,2006
LKR,107.44953,2006
LRD,49.003667,2006
LSL,6.977596,2006
LTL,2.621716,2006
LVL,0.53364,2006
LYD,1.276692,2006
MAD,8.458998,2006
MDL,12.912165,2006
MKD,46.594077,2006
MMK,6.51,2006
MNT,1162.087259,2006
MOP,8.007554,2006
MRO,268.937597,2006
MTL,0.326496,2006
MUR,33.24891,2006
MVR,12.8,2006
MWK,142.150246,2006
MXN,10.855802,2006
MYR,3.532251,2006
NAD,7.022596,2006
